WGS004N1_1	WGS004N1_2	WGS004P1_1	WGS004P1_2	WGS004P2_1	WGS004P2_2
0.0119801492411771	0.0114330587092223	0.0107715489840605	0.0129915541449244	0.0104410907442192	0.0107153086998412
0.028790810011896	0.028150080523871	0.0287947637322534	0.0247592662327183	0.0247813977589222	0.0247636903366924
0.113601134329076	0.114157560592549	0.11307183387093	0.106474258970359	0.0979856208303647	0.102270655938338
0.272635512671081	0.255387113518694	0.270666070209309	0.248157512507397	0.233305265885096	0.240567143191938
0.348109251270713	0.392889941836477	0.344842605890801	0.390540104362795	0.386009456571021	0.389162305028253
0.086564689201043	0.0800047915030679	0.0802980717161491	0.0809215127225779	0.0782952263747652	0.0776632033955681
0.0413597529469725	0.0362557065470566	0.0446518964989523	0.0381273871644521	0.0453656324891509	0.044749108142593
0.0501556097619591	0.0414198820757856	0.0505262166552869	0.0479719188767551	0.0599650236414276	0.0536937218446476
0.0355799617884909	0.0311980088642807	0.0444282249899936	0.0383291193716714	0.0506898115162899	0.0446319297971513
0.0112231287775922	0.00910385582899658	0.0119487674522638	0.01172736564635	0.0131614741887428	0.0117829336249772
