WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1	WGS005P3_2
0.00393099304780706	0.00480417422290096	0.00406929426810836	0.00368158229707236	0.00413779046066042	0.0034005559169673	0.00240627724498692	0.00306213163873432
0.00763882928503991	0.00843116668257453	0.00752404205491056	0.00769607363164594	0.00829596412556054	0.00792477378910639	0.00535309503051439	0.00594316947087682
0.0181100334735216	0.0178486207883936	0.0198647997741126	0.0190149809066876	0.0185894822666123	0.0195753740611509	0.0157802964254577	0.0160514964933654
0.0509312505364346	0.0479144793356877	0.0450944242363845	0.0492313717810633	0.0494700366897676	0.0460110000591401	0.0449694856146469	0.0430015475288927
0.14324950648013	0.140211892717381	0.137890942913615	0.142112993243905	0.141928251121076	0.142320657637944	0.134699215344377	0.136166079483718
0.253385975452751	0.264293213706214	0.262776753533642	0.254910408303143	0.258071748878924	0.257466437991602	0.258692240627725	0.260149484705805
0.305982319114239	0.320511596831154	0.310894082083479	0.301478507784197	0.308397880146759	0.30468981016027	0.312066259808195	0.316156860162655
0.169427516951335	0.153319970729535	0.165113691099042	0.173484774307255	0.164920505503465	0.171624578626767	0.172903225806452	0.167775180270653
0.0357909192344005	0.0313384874805129	0.0348630557908549	0.0367962400861647	0.0359967386873216	0.0347743805074221	0.0397558849171752	0.0392315037371176
0.00971590421423054	0.00906748114918393	0.00994900925141595	0.00910604131988642	0.00854056257643702	0.00981725708202732	0.0108108108108108	0.0102729577557538
0.00183675221011072	0.00225891635646336	0.00195990499443586	0.00248702633897973	0.00165103954341622	0.00239517416760305	0.00256320836965998	0.0021895887524283
