patient	a	b	cor	quantile_0.025	quantile_0.975
CC001	CC001_1	CC001_2	0.7596010278255234	-0.03956968526059007	0.9421071654543618
CC001	CC001_1	CC001_3	-0.30583229073974344	-0.6425406910631539	0.2903412929316558
CC001	CC001_2	CC001_3	-0.33219347806512617	-0.7349526019630782	0.3728635232606659
CC002	CC002_12	CC002_15	0.7685802062521144	0.36945264051799387	0.929116187850357
CC005	CC005_5	CC005_8	0.6750247783980214	-0.08298965603926725	0.8980585647672724
T790M	T790M_707	T790M_708	0.8737331914763208	0.7334711933463919	0.9903587025013338
T790M	T790M_707	T790M_709	0.9185405426317601	0.7864067137572962	0.9719845915157169
T790M	T790M_707	T790M_710	-0.6093409327095222	-0.9195829190702003	0.04749673035083377
T790M	T790M_707	T790M_713	0.8409922602031913	0.663507719105621	0.9797084438931123
T790M	T790M_707	T790M_714A	-0.6846135190393731	-0.9141878796901413	0.2337855924927026
T790M	T790M_707	T790M_714B	-0.5526635820787428	-0.8406390095347511	0.42036497572620096
T790M	T790M_707	T790M_714C	0.06544067026428461	-0.43463510704801717	0.6400661718781913
T790M	T790M_707	T790M_715A	-0.4561484978074094	-0.7807292507296805	0.49534066954778955
T790M	T790M_707	T790M_715B	-0.3671471575626248	-0.777659567531355	0.5458238464973199
T790M	T790M_707	T790M_716	-0.6070491374441633	-0.8928052076603539	0.1278327237664603
T790M	T790M_707	T790M_717	-0.6851775824869466	-0.9001494220010159	0.13788103641588734
T790M	T790M_708	T790M_709	0.950300115647675	0.7270035376327405	0.9889082577965838
T790M	T790M_708	T790M_710	-0.4946322718621349	-0.8451315579959837	0.0531186664592714
T790M	T790M_708	T790M_713	0.977809206112878	0.8645432210338213	0.993218163639215
T790M	T790M_708	T790M_714A	-0.4480248957396746	-0.826319253321016	0.30690790042123095
T790M	T790M_708	T790M_714B	-0.25068193869182515	-0.6566403505429347	0.41583873067375327
T790M	T790M_708	T790M_714C	0.21170934987267942	-0.30910906080273615	0.6673130109166927
T790M	T790M_708	T790M_715A	-0.2373136714010072	-0.6243846018099192	0.44303631967611234
T790M	T790M_708	T790M_715B	0.009340307665216162	-0.3367161630615515	0.6030639397338754
T790M	T790M_708	T790M_716	-0.38440542629255153	-0.7366427207162654	0.13751046686048726
T790M	T790M_708	T790M_717	-0.5533655379473412	-0.8528034141155655	0.26537474198011046
T790M	T790M_709	T790M_710	-0.6325172585714051	-0.8675130036410462	-0.09367306215287037
T790M	T790M_709	T790M_713	0.9387421372021082	0.6341534456855756	0.9925981220839264
T790M	T790M_709	T790M_714A	-0.6268165023203859	-0.8742975970493626	0.1594938054079253
T790M	T790M_709	T790M_714B	-0.4688226750294529	-0.7788812907909992	0.3874911325120933
T790M	T790M_709	T790M_714C	0.13347149599212477	-0.37269251666889047	0.6359158739578904
T790M	T790M_709	T790M_715A	-0.47015237197953064	-0.7394217329330367	0.27734236179892346
T790M	T790M_709	T790M_715B	-0.21266978028751302	-0.722054301576344	0.48031038190519676
T790M	T790M_709	T790M_716	-0.5492645993117775	-0.8016961664641864	0.002264944039820348
T790M	T790M_709	T790M_717	-0.6588947570909158	-0.8797639986721285	0.20272814544461337
T790M	T790M_710	T790M_713	-0.483526727292776	-0.8271822059973193	0.1698609612880502
T790M	T790M_710	T790M_714A	0.8035623837334253	0.4928736804683776	0.9274441682210892
T790M	T790M_710	T790M_714B	0.7419984767522404	0.3622011428948147	0.8840324675158022
T790M	T790M_710	T790M_714C	0.21909472187520543	-0.2674756756718944	0.5948374391764825
T790M	T790M_710	T790M_715A	0.6933459525642809	0.20442124237385348	0.8971589351352269
T790M	T790M_710	T790M_715B	0.6087879008011918	0.023905070813549884	0.8751171584039789
T790M	T790M_710	T790M_716	0.8520872308370372	0.5143767276634743	0.9567906753923917
T790M	T790M_710	T790M_717	0.6903847147383513	0.14266627745150517	0.8972355233395785
T790M	T790M_713	T790M_714A	-0.4759374835373138	-0.8540816984166125	0.3219630164588251
T790M	T790M_713	T790M_714B	-0.28731364378366986	-0.6695707195437035	0.3660673773760072
T790M	T790M_713	T790M_714C	0.103826129516355	-0.4833344467046747	0.5726237249354929
T790M	T790M_713	T790M_715A	-0.257770554331121	-0.622992313717401	0.49543675999418074
T790M	T790M_713	T790M_715B	-0.017639977475715923	-0.29187682739698806	0.6179840909553094
T790M	T790M_713	T790M_716	-0.4233037319158902	-0.7989867943773444	-0.0013208745510737898
T790M	T790M_713	T790M_717	-0.6086475319799747	-0.8576334736638724	0.15588466000778473
T790M	T790M_714A	T790M_714B	0.932165695599155	0.8315649468149567	0.9762384017750416
T790M	T790M_714A	T790M_714C	0.4622998424970639	0.13493673582463492	0.7419666128996367
T790M	T790M_714A	T790M_715A	0.8505811563677235	0.5878101370509663	0.9586578325411602
T790M	T790M_714A	T790M_715B	0.8244683854836744	0.5384558841206053	0.9692986614243448
T790M	T790M_714A	T790M_716	0.8963686048258829	0.6960112150498245	0.976742599415453
T790M	T790M_714A	T790M_717	0.9102535135575667	0.7830105508888904	0.9632577286083048
T790M	T790M_714B	T790M_714C	0.5644029024740422	0.371589190483785	0.7885203604303375
T790M	T790M_714B	T790M_715A	0.8678296323430923	0.6827700278737572	0.9689855574727774
T790M	T790M_714B	T790M_715B	0.9253961468410069	0.6894900539127237	0.9813879523069428
T790M	T790M_714B	T790M_716	0.8969735451542249	0.6614936924583921	0.9689269048966714
T790M	T790M_714B	T790M_717	0.8153759356034174	0.746572569102619	0.9330422807490817
T790M	T790M_714C	T790M_715A	0.4397431169492002	0.04439849574948534	0.8527877026102197
T790M	T790M_714C	T790M_715B	0.6060963420709218	0.44972783418194134	0.8879479238642364
T790M	T790M_714C	T790M_716	0.4434662337942329	0.11149857820191839	0.6741909525921552
T790M	T790M_714C	T790M_717	0.5570174465515716	0.23310264419471388	0.854786260686694
T790M	T790M_715A	T790M_715B	0.8422309117570955	0.6399016200990221	0.9695070826932182
T790M	T790M_715A	T790M_716	0.7989771471264895	0.5289890003235548	0.9341168704056876
T790M	T790M_715A	T790M_717	0.7445161436977611	0.46110268518537656	0.9292327228894127
T790M	T790M_715B	T790M_716	0.8347227650628706	0.4896646630402794	0.9582671382856373
T790M	T790M_715B	T790M_717	0.6858501841514055	0.501988199158448	0.9399731954150219
T790M	T790M_716	T790M_717	0.8367907572021186	0.7166243367356497	0.9462067803694042
WGS00C	WGS00C_T10	WGS00C_T16	0.44153291980165266	0.10211371418867393	0.7132536239865369
WGS00E	WGS00E_T18	WGS00E_T25	-0.21607718988624514	-0.6254634740163775	0.06065137464016183
